trail_id,name,city,region_name,length_km,ascent,descent,deepest_point,highest_point,unit,duration_minutes,difficulty,season,route_type,aktivitat,angebot,thema
951,Hoch-Ybrig Laucheren – Roggenstock – Oberiberg,Zentralschweiz,Mythenregion,8.2,378,774,1087,1777,m,165,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Verpflegung', 'Alp-Beizli']","['Gipfel', 'Familie', 'Panorama', 'Themenweg', 'Top-Touren']"
949,Chäserrugg (Churfirsten) – Gamsalp,Ostschweiz,Toggenburg,3.9,2,495,1767,2260,m,65,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Alp-BnB']","['Gipfel', 'Panorama', 'Themenweg', 'Top-Touren']"
947,Ospizio Bernina – Sassal Masone – Alp Grüm,Graubünden,Puschlav,6.3,209,380,2083,2358,m,110,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli', 'Alp-BnB']","['Familie', 'Pass', 'See', 'Bergsee']"
945,Riggisalp – Breccaschlund – Schwarzsee Gypsera,Westschweiz,Fribourg,10,212,650,1046,1511,m,170,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",Rundtour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli', 'Alp-BnB', 'Hofladen']","['Familie', 'Panorama', 'Themenweg', 'Höhenweg', 'Top-Touren']"
941,Curzútt – Tibetische Hängebrücke Carasc – Sementina – Monte Carasso,Tessin,Bellinzona,7.3,406,761,249,794,m,165,T2,"['Mar', 'Apr', 'Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt', 'Nov']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung']","['Familie', 'Themenweg', 'Top-Touren']"
939,Bürgenstock Felsenweg,Zentralschweiz,Vierwaldstättersee,4.9,264,264,870,1036,m,95,T2,"['Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt']",Rundtour,['Wandern'],"['Unterkunft', 'Verpflegung']","['Gipfel', 'See', 'Themenweg', 'Schiff', 'Top-Touren']"
937,Niederhorn Panoramaweg – Beatenberg Waldegg,Bern,Thunersee,7.6,54,792,1202,1950,m,125,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung']","['Gipfel', 'Panorama', 'Höhenweg']"
935,Stockhorn – Oberstockenalp – Hinterstockensee – Chrindi,Bern,Simmental,3.4,45,545,1596,2138,m,70,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli', 'Alp-BnB']","['Gipfel', 'Familie', 'Panorama', 'See', 'Höhenweg', 'Top-Touren', 'Bergsee']"
933,"Calancatal, Arvigo – Santa Maria in Calanca (Misox)",Graubünden,,8.3,398,261,688,956,m,150,T2,"['Apr', 'Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt', 'Nov']",A nach B Tour,['Wandern'],"['Verpflegung', 'Feuerstelle']",['See']
931,"Stanserhorn – Wirzweli, Dallenwil",Zentralschweiz,Nidwalden,10.2,270,903,1221,1854,m,190,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung']","['Gipfel', 'Panorama', 'Themenweg', 'Höhenweg']"
